strategy_equity,spy_equity
100000.0,100000.0
100000.0,102085.46695046508
100000.0,101005.25532450803
100000.0,101011.69529948093
100000.0,100084.23950803449
100000.0,99742.08034058771
100000.0,99447.21953410178
100000.0,98529.97649342076
100000.0,99487.69625078473
100000.0,101026.25740785873
100000.0,102196.59087698493
100000.0,102569.94974533786
100000.0,102617.40853571199
100000.0,102124.6336775015
100000.0,102122.09287122793
100000.0,102040.8292188683
100000.0,102625.29828958151
100000.0,101990.1552565908
100000.0,101443.51256576682
100000.0,102045.13684011047
100000.0,101464.39333121033
100000.0,100444.99655779773
100000.0,101668.73918115965
100000.0,101338.66942161192
100000.0,101703.05024337451
100000.0,102596.71817763263
100000.0,102068.38129651119
100000.0,103183.46453628778
100000.0,103051.41948478644
100000.0,104561.77142165144
100000.0,104118.95691425363
100000.0,104089.2703888118
100000.0,103016.08690796235
100000.0,101995.021236159
100000.0,102698.68676860032
100000.0,102411.23396232683
100000.0,102644.5049549859
100000.0,101558.76316783886
100000.0,100433.63524824225
100000.0,101441.86916785025
100000.0,102727.78013429002
100000.0,103356.61064208325
100000.0,103013.10055324642
100000.0,102397.98882517828
100000.0,101876.85185182097
100000.0,101714.17308279629
100000.0,101823.20395311993
100000.0,103296.83792739194
100000.0,101940.14611094737
100000.0,101891.99993145872
100000.0,103719.02988254438
100000.0,103808.19256470459
100000.0,103002.0254965706
100000.0,103532.70350894275
100000.0,104602.16637493344
100000.0,103861.77555969938
100000.0,103625.28465477569
100000.0,104346.74947933551
100000.0,105513.01359322407
100000.0,106794.93510990839
100000.0,105348.1464011705
100000.0,104782.54057348086
100000.0,105802.84214045199
100000.0,105224.9979963824
100000.0,104282.98078625751
100000.0,104989.37647949305
100000.0,106146.26987482332
100000.0,106787.34431343249
100000.0,105902.33436241238
100000.0,106298.35807908265
100000.0,107759.15865235888
100000.0,108369.20350501311
100000.0,108741.47896563997
100000.0,108022.81715581732
100000.0,109077.35613142065
100000.0,108796.44686371979
100000.0,108931.78725201718
100000.0,110206.70628678476
100000.0,111570.91992221832
100000.0,111314.081173416
100000.0,111237.22101877116
100000.0,112317.83986156202
100000.0,112948.47780891242
100000.0,111778.3903391585
100000.0,111389.28449787742
100000.0,111937.53510339936
100000.0,112500.15656552394
100000.0,112342.6678477649
100000.0,113399.7602023978
100000.0,113910.27015575123
100000.0,114062.54266208877
100000.0,113156.17096630497
100000.0,114180.53391481267
100000.0,113617.17466484383
100000.0,112107.19584653688
100000.0,114063.19340836428
100000.0,114452.63988485788
100000.0,114392.77749484846
100000.0,114938.43897165579
99999.99999999999,113074.41810370235
99579.09208593702,114450.65926010314
99599.90290097625,112757.60303234092
98467.89868733658,112701.80454333298
97709.68521429204,113982.8271879403
97785.3499480834,113591.84187809966
97851.83467839888,113782.07452260127
98538.56379550499,115309.9176442836
98739.19221563464,115599.48144725496
99759.40856464123,116033.92644897097
100686.22557732511,117357.99008028889
101195.14256826173,116506.74315561086
100786.2285762244,115900.1088690848
100861.81294377426,117713.95860880503
100793.17357978874,118575.35758204818
101815.83055231473,117176.84488219724
101322.8054462892,116974.17877833251
102322.70470476673,117242.30963039996
102229.45349961298,116954.25391368264
101997.32826370113,116241.6104751613
101679.71522545976,117370.18608507665
101840.97807325062,116849.4271734305
102074.9997608125,115418.41100564912
102741.30035465768,113948.7265643155
102006.32624458996,114512.6275003818
102334.38613069762,114255.60863430577
101920.57748383982,114555.84552438809
102212.29527596029,112860.92753551019
102200.08070652685,112551.16000243304
101791.34706266147,112008.85323164955
101537.65867442344,113537.9152318025
101631.08605509873,112891.73472839242
101256.61198075347,112061.98432938235
101018.3341207397,112016.23234050513
101428.26169984289,111748.70812112525
101658.35791830948,111110.58201223191
102057.04637364585,109857.71766921609
102629.67851676537,110507.38320675923
103147.59880250109,109546.4550737531
103700.32502970706,108652.25832487794
103297.33509875115,107228.21394412796
103493.67504597771,107210.72421645607
103095.47676008004,106839.26149472063
103216.67151223308,104787.64996023368
103727.57909379742,105985.0018769136
103714.70893237,106603.02783169731
103037.4366321046,106530.70610221078
101963.92511210022,106937.5109568643
102533.72638041012,107432.94364149775
102312.00074939824,107234.07974293722
102171.28703718993,106705.25512168967
102034.29690247212,106795.7781311702
101835.902420025,106254.53182648803
102184.56388774101,106066.06708120366
102215.82579432824,105523.90455061247
102152.96289831138,106388.41854693803
101888.07701586735,106912.91638397414
102232.56023224581,104986.06502861767
102082.55506197066,104006.08616553659
102373.16375100671,103869.58329291806
103109.6236616057,103462.13056947358
102496.85040977938,102679.82008574072
102560.54652011573,102752.16377022788
102513.31568991192,105670.04064168461
102757.65811635368,109441.86645703291
102742.74352360508,109831.03794728286
103088.17369736903,111434.7973006819
104671.7241927669,104851.68317293085
105013.99306942926,105311.79733900196
104656.61870111522,107310.24617101577
104744.5768581094,107214.29498542965
104679.36493137,101982.38509760014
104475.24550733391,103676.5237913862
104577.70104030856,100955.9747386824
104972.06000291143,98474.68693267822
105071.35963744746,102270.86968963325
105332.35441715336,104663.18033378979
104998.06591110544,98915.21969668732
104511.15057028389,100451.7572201358
104908.74942968953,97914.3320058327
105291.65356323004,99508.4251246033
105104.63003692751,99354.01498754269
104922.78693822418,100733.54804883445
105067.74834423914,99439.67797769715
104554.22657012167,107668.36505127659
104098.03318558382,108666.39803468468
104327.2540240467,110536.77113650033
104515.9009769417,105541.05753775749
104695.6302613691,108002.29954449479
104674.39174229688,108801.51974506066
104939.9268716586,106041.15336310655
104786.31433875841,99979.40248890161
104873.28280051991,98962.03722185906
104782.94258091293,96733.19546669707
104638.45625961463,95605.97947266832
104413.48576256188,93246.74987993353
104785.23118887762,95217.30348007342
104708.12146608291,103237.31196855872
105126.56364037849,100586.48761384893
105731.86178312844,97647.49041073355
105957.34368813058,101787.2928560199
106083.96618318664,113982.82665493287
105916.72344444701,104083.43535306805
105901.2548661048,106552.47181358149
106406.32384037273,111471.66246033653
106330.9051103578,117310.49572217742
106466.41320788758,123619.65262036858
106197.992330932,130689.09044983992
106337.80212136862,141823.9929323224
106687.63896027961,141995.08858573902
106882.11046556785,140000.69354460784
107137.55423978361,138667.26783898723
107721.70502739602,143499.96687303224
108376.61015093887,141786.13696993608
108206.069714311,146895.37950762655
108691.88620205347,152887.81343920092
109054.10827986039,152574.20906275266
108801.53670761171,149957.51414401075
108658.36469818077,148193.64633905794
108956.70284329228,135463.04837532103
108717.75547974058,146379.51927982626
108150.70677110941,149609.23123959353
107811.1125797208,148630.3856529348
106984.69305695691,147338.2046425318
106345.13977731174,140671.0604494801
106933.51353613283,143852.6296588249
107494.7047775387,140447.5022878675
108039.10955058926,134262.37416008694
106573.34178312823,138443.10498356583
108891.13128776023,138021.80532744052
107617.50225539377,140993.59305331204
108313.09269203566,139206.37345232206
107110.34750529636,140128.1353240337
105624.87637585361,140516.17485718263
106497.35846983563,139233.03616993324
106173.73913484132,144047.4930786444
104790.04384278184,136516.1937359307
105227.16779681822,128485.69194896941
105395.05436370001,123001.86376319271
106048.13351637259,129521.95517418113
105680.98531382048,134037.38124206392
107374.034757435,127991.72136577092
107379.12662745266,125701.63663231576
108128.94371134521,126735.73845150795
107964.71027502281,124423.9231741827
108183.36187297896,131192.06758097676
108942.04023126118,129167.1805466562
107988.65794918654,129616.92562780733
107492.23791451953,130955.55583461687
106044.10111915802,128204.82507438536
105899.61996970634,132117.61996116972
107129.41365644193,131103.7902759457
106755.08276144743,132108.90557363667
105965.73595948562,125600.30940538876
106428.75584926507,125218.98455316146
107812.33015871055,133223.19498528528
107728.39968082719,137822.50594714368
106453.00739300974,137314.779307179
105469.02041462818,138149.24424460903
105510.90282360524,140379.36333132818
106331.08893521207,140976.5934435494
107036.82913672413,137913.5821993815
107730.54849340007,138801.56354037093
108764.17981865065,136343.78949846263
107516.19199708354,141559.8247768818
107093.4703659111,142749.31192947374
107336.29829015573,142838.4636832651
108008.15669625104,143185.3879279899
107740.0682763737,138756.0176129988
106933.00846955397,141216.48301476534
105358.36906368234,138993.4232035404
105173.45827019891,139138.15355499694
105050.25042609312,140097.1808268064
104109.7584842033,141359.3835000335
103820.50320903095,135408.32296233877
103296.65203688348,136339.5104596226
104035.36575978974,136233.0889699908
103709.84111021852,143653.1454385407
104160.07245935194,135161.2973387197
104264.38746872554,134589.699285243
103662.33506105219,130945.85302878304
103702.0889281497,122299.98198494762
104462.86518738579,118389.51937377646
104526.69635028158,110635.26049454042
104731.55414731415,109120.66522465528
105339.1184664796,104386.99516826855
107184.29725673508,101087.22786184472
107913.2633324136,98041.34987161146
107697.38421882413,97013.26696917858
108242.82294768345,93975.21030784458
109061.61319739615,92982.47837326859
109192.9134594188,88444.8308623979
109717.76410067173,88563.73181197396
110363.15605379675,89329.49922856578
110442.06217861861,88477.19915154696
110015.81012321734,88338.72325719813
110040.28775427089,88032.06893983949
110394.35990618668,87668.8313734476
110251.11276667257,87078.8687216152
109244.63139045078,86048.9320833639
109631.15880114987,86787.0325038556
109370.06624412147,85804.52143095329
108887.84720624768,84303.22605916664
109470.44934117398,83400.30518037452
110865.99194302861,82611.60992679038
111225.10809681183,82687.41258663118
111918.17343922587,83089.54902610774
111702.15787155725,82125.17096853584
112017.95089930281,81872.71995977536
112090.7040406538,81892.8640080935
