Date,No_Leverage_1x,Fixed_2x,Fixed_3x,Fixed_5x,Kelly_Optimal,Vol_Target_15pct
1996-12-31,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1997-01-01,9922.154260621875,12413.217920721872,17317.499501543745,34599.253643487486,9922.154260621875,9922.154260621875
1997-01-02,9894.766553486359,12290.953953446857,17038.96113901773,97259.39121981936,9894.766553486359,9894.766553486359
1997-01-03,9886.951750114968,12255.400972166295,24114.162470486182,96645.38115167129,9886.951750114968,9886.951750114968
1997-01-06,9885.720867709215,12249.010906607837,24097.58842429238,96523.24127541977,9885.720867709215,9885.720867709215
1997-01-07,9876.085790395035,13845.652931408586,23994.151143162075,222445.5542205826,9876.085790395035,9876.085790395035
1997-01-08,9890.642592815644,13892.37976774098,24141.08549870484,224626.3669063524,9890.642592815644,9890.642592815644
1997-01-09,9879.415096743818,13854.419852206465,24021.176971405715,222824.2490658365,9879.415096743818,9879.415096743818
1997-01-10,9876.619055350933,13844.172191374326,23988.650530842628,222328.3066151779,9876.619055350933,9876.619055350933
1997-01-13,9878.609702697653,13849.647466454067,24005.671062769245,222572.0941365414,9878.609702697653,9878.609702697653
1997-01-14,9891.598242044098,13891.222449563178,24136.37093831658,224510.67933394213,9891.598242044098,9891.598242044098
1997-01-15,9880.312020276195,13853.070751015613,24015.863388429236,222699.90490976814,9880.312020276195,9880.312020276195
1997-01-16,9890.98482693496,13887.040550649088,24122.60294999649,224281.01647449567,9890.98482693496,9890.98482693496
1997-01-17,9891.979960156792,13889.210385520277,24129.098117726528,224364.5616627973,9891.979960156792,9891.979960156792
1997-01-20,9884.549963157959,13863.7198762617,24048.47347027248,223148.84888168,9884.549963157959,9884.549963157959
1997-01-21,9889.351323595827,13878.405316900653,24094.450744024864,223823.16079433012,9889.351323595827,9889.351323595827
1997-01-22,9891.945256151506,13885.831300275026,24117.525119833273,224154.7959652993,9891.945256151506,9891.945256151506
1997-01-23,9887.754938976052,13870.979131124363,24070.416156254767,223439.30115102394,9887.754938976052,9887.754938976052
1997-01-24,9889.251130349136,13874.807867425381,24082.182694143336,223603.02188495436,9889.251130349136,9889.251130349136
1997-01-27,9886.892632855563,13865.978889787199,24054.07456126411,223171.8628427938,9886.892632855563,9886.892632855563
1997-01-28,9888.757233610579,13871.021414137065,24069.67853092402,223393.3099092782,9888.757233610579,20073.099224263497
1997-01-29,9895.272100378763,13891.32566859723,24133.334962448997,224330.95423371086,9895.272100378763,20153.604363613213
1997-01-30,9909.701078833546,13937.628920411418,24278.923544388832,226491.3984643805,9909.701078833546,20331.905311661598
1997-01-31,9899.93276844321,13904.455717806566,24174.08000704054,224913.67002465983,9899.93276844321,20211.19690469531
1997-02-03,9919.10747109373,13966.349783792224,24368.8064630413,227807.92750601922,9919.10747109373,20448.14144459102
1997-02-04,9903.029897311797,13912.461862181608,24198.715665352138,225257.0018280498,9903.029897311797,20249.46856857141
1997-02-05,9902.645454935202,13910.139101626712,24191.17389103127,225134.44821806846,9902.645454935202,20244.717959203495
1997-02-06,9908.612519185403,13928.669484795757,24249.315015337816,225991.61382687246,9908.612519185403,20318.453824580974
1997-02-07,9911.960758851616,13938.586530288361,24280.278862566855,226442.05156915844,9911.960758851616,20359.8285004563
1997-02-10,9907.496670792108,13922.848186899866,24230.415789531828,225686.42146758802,9907.496670792108,20304.66512657812
1997-02-11,9906.624962255606,13918.916791032978,24217.781363721344,225487.26923409026,9906.624962255606,20293.89329966277
1997-02-12,9903.300114843187,13906.935477801586,24179.80500666195,224910.55997435254,9903.300114843187,20252.80768520929
1997-02-13,9899.158081906711,13892.281819041345,24133.444742515734,224209.81200168355,9899.158081906711,20201.623992494282
1997-02-14,9907.340678406432,13918.10099096099,24214.592561204692,225411.749733282,9907.340678406432,20302.73750638368
1997-02-17,9911.340238714598,13930.165417501372,24252.350703324744,225964.60762165947,9911.340238714598,20352.160644477466
1997-02-18,9906.271296877094,13912.448726533723,24196.282081308033,225117.3536374534,9906.271296877094,20289.523006056872
1997-02-19,9914.938972728247,13939.842825651203,24282.336513589755,226390.96118412795,9914.938972728247,20396.630714788964
1997-02-20,9918.535251880787,13950.56442171798,24315.807527720368,226878.2596700875,9918.535251880787,20441.07045003107
1997-02-21,9926.546495656516,13975.777803085864,24394.908301568365,228045.29520677737,9926.546495656516,20540.066533831156
1997-02-24,9933.009250073406,13995.901693585201,24457.961139938172,228972.46288596193,9933.009250073406,20619.9277134113
1997-02-25,9926.637533243054,13973.87439795578,24388.207214317896,227917.63536257268,9926.637533243054,20541.191498293374
1997-02-26,9922.661304080006,13959.730302388423,24343.341630857343,227235.7867472481,9922.661304080006,20492.05666649284
1997-02-27,9930.12976396916,13983.169769393808,24416.882444562172,228320.82900392704,9930.12976396916,20584.34549226598
1997-02-28,9936.444165791758,14002.80566767681,24478.39552985077,229224.96423283848,9936.444165791758,20662.373457645215
1997-03-03,9937.206403140168,14004.198629269064,24482.40341824011,229270.0859720474,9937.206403140168,20671.792533450578
1997-03-04,9939.193716226659,14009.6164096983,24499.096940873387,229504.66993427087,9939.193716226659,20696.350045162195
1997-03-05,9951.482346440343,14048.87825870695,24622.463091572346,231332.4343907976,9951.482346440343,20848.202404231302
1997-03-06,9947.134168209812,14033.48974128872,24573.60474329455,230588.84500781368,9947.134168209812,20794.471344668313
1997-03-07,9952.980814377755,14051.584856463538,24630.24910887635,231419.91472376708,9952.980814377755,20866.719186600745
1997-03-10,9952.125508761517,14047.662699145336,24617.5026864691,231214.81490502748,9952.125508761517,20856.15005291438
1997-03-11,9951.131792479466,14043.289582036366,24603.34744739671,230989.08999770723,9951.131792479466,20843.870558857605
1997-03-12,9961.948244616782,14077.711985935697,24711.451911995522,232588.68853721741,9961.948244616782,20977.531003125878
1997-03-13,9970.393380134865,14104.34080737699,24794.983050593604,233821.0191794686,9970.393380134865,21081.88874917076
1997-03-14,9978.79300341177,14130.81798706701,24878.029628318873,235045.91944712077,9978.79300341177,21185.68409394965
1997-03-17,9991.77694006086,14172.354613874877,25008.535875975707,236979.46446489927,9991.77694006086,21346.128453970545
1997-03-18,9992.966945541442,14175.139531514895,25016.889367511467,237088.28528891483,9992.966945541442,21360.833521694884
1997-03-19,10000.308916829377,14198.136225814029,25088.948208039215,238148.5664044841,10000.308916829377,21451.55930975295
1997-03-20,9998.40539816174,14190.761322672955,25065.291530282713,237779.72883126824,9998.40539816174,21428.037257645694
1997-03-21,10002.436634237716,14202.879510508896,25103.058373193715,238327.73501634324,10002.436634237716,21477.851817727416
1997-03-24,10002.219542161718,14201.040512533278,25096.83555630973,238218.84556772708,10001.861214846143,21475.16917993116
1997-03-25,10004.133080024287,14206.200285522093,25112.66757078452,238439.1781963337,10003.641423767669,21498.81504066145
1997-03-26,10010.730197763414,14226.747332972123,25176.997878342692,239383.8275562096,10009.408744587448,21580.336567009253
1997-03-27,10004.010368708288,14203.558929558683,25103.530823692294,238272.03450254374,9999.640237345708,21497.298679399493
1997-03-28,10024.672482560534,14270.316077554777,25313.512632830465,241392.10193975127,10020.302351197954,21752.62337200225
1997-03-31,10016.077786526977,14240.969301922376,25220.639382097666,239990.6080943966,10008.556596620281,21646.417485301863
1997-04-01,10005.569242099482,14205.365090286088,25108.138788697514,238298.84200257453,9995.568685451417,21516.561900590663
1997-04-02,10017.47013529631,14243.358884517409,25227.52931015579,240068.04006412617,10007.469578648244,21663.622937951463
1997-04-03,10026.009611554293,14270.284536549301,25311.957949047664,241312.8399593133,10013.952131882028,21769.14646599655
1997-04-04,10033.007088742748,14292.141860307614,25380.402545036042,242318.4987079322,10017.768355226333,21855.61529125389
1997-04-07,10040.086265916323,14314.265870860956,25449.682320906104,243336.4743418984,10021.66504111978,21943.093694898773
1997-04-08,10041.003863568232,14316.144542444641,25455.144870235654,243401.1450643906,10019.408055019461,21954.43258016879
1997-04-09,10033.345479497595,14289.867909955497,25371.92986789479,242143.37565895123,10008.612863905902,21859.79683415305
1997-04-10,10035.105861638585,14294.53458693892,25386.241476959374,242342.13350003396,10007.98868904708,21881.550127752427
1997-04-11,10029.607375337313,14275.367377622948,25325.4774738207,241421.0316307959,10000.340025993748,21813.604547029587
1997-04-14,10039.995438073689,14308.370081426143,25429.07254308441,242952.48817067058,10010.728088730122,21941.97132227193
1997-04-15,10039.607596410857,14305.968338399121,25421.07399107362,242817.2305018669,10007.279913691236,21937.178707438376
1997-04-16,10032.652660381851,14282.009874989397,25345.191145196244,241669.93499176152,9998.46016018187,21851.23556936565
1997-04-17,10030.589418667754,14274.130972543706,25320.01592307878,241280.79837865406,9996.396918467774,21825.73979675575
1997-04-18,10035.584734139045,14289.431161741628,25367.864162387963,241981.29930593583,10001.392233939065,21887.467623650977
1997-04-21,10031.178458398588,14273.853959673623,25318.42455846038,241229.83755762823,9996.985958198607,21833.018644858195
1997-04-22,10024.303578257695,14250.186166882842,25243.546599480425,240100.3241669461,9990.111078057715,21748.064768831435
1997-04-23,10027.655192055356,14260.111106409642,25274.532463873213,240551.4511514907,9993.462691855375,21787.484051372674
1997-04-24,10031.028491305644,14270.098627917318,25305.689076524795,241004.3773024821,9996.835991105663,21827.060365664813
1997-04-25,10027.184631547998,14256.384529411931,25262.17172396557,240342.97606858378,9992.992131348017,21777.408435298014
1997-04-28,10023.697076378001,14243.852004654653,25222.413149323944,239738.76408871595,9989.50457617802,21732.178078986813
1997-04-29,10026.935821901336,14253.411900683383,25252.26842748592,240173.72217261736,9992.743321701355,21769.918489538617
1997-04-30,10014.09056845995,14210.161757047767,25115.773533361717,238127.19827852084,9979.898068259969,21608.986461334334
