Date,Buy_&_Hold,Original_Momentum,Original_Mean_Reversion,Original_Factor_Momentum,Dual_Momentum_GEMVAA,Cross-Asset_Enhanced,Enhanced_Ensemble
1996-12-31,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1997-01-01,10003.791668268319,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1997-01-02,9753.389774457888,9955.005909705938,10000.0,10000.0,9953.049644910545,9939.355791342787,9970.65602806909
1997-01-03,9681.940143633743,9942.167304167224,10000.0,10000.0,9939.652839131017,9922.051583877565,9962.283024456887
1997-01-06,9670.686361638283,9940.145140214916,10000.0,10000.0,9937.542755006869,9919.326058550538,9960.964221879292
1997-01-07,9582.594226194351,9924.316084627333,10000.0,10000.0,9921.025479611131,9897.99124449771,9950.640924756957
1997-01-08,9715.684991182783,9948.230831461193,10000.0,10000.0,9945.979998046463,9930.224164143347,9966.237498779039
1997-01-09,9613.03359852608,9929.785659343192,10000.0,10000.0,9926.73286192333,9905.363279984302,9954.208038702081
1997-01-10,9587.469791505426,9925.192162769168,10000.0,10000.0,9921.939648106958,9899.172045471487,9951.21228006685
1997-01-13,9605.669995818289,9928.462511981636,10000.0,10000.0,9925.35218641562,9903.579907453508,9953.345116509763
1997-01-14,9724.422355557215,9949.800826622224,10000.0,10000.0,9947.618253866669,9932.34024457778,9967.261408666667
1997-01-15,9621.234042250673,9931.259176574953,10000.0,10000.0,9928.270445121692,9907.349324948851,9955.169028201057
1997-01-16,9718.813988845093,9948.793073228639,10000.0,10007.62343332769,9946.566685108146,9930.981968264688,9966.60417819259
1997-01-17,9727.912349730419,9950.427934950221,10000.0,10008.334242771856,9948.272627774144,9933.185477541603,9967.67039235884
1997-01-20,9659.980948598222,9938.221511309279,10000.0,10003.027102058402,9935.535490061857,9916.733341329898,9959.709681288661
1997-01-21,9703.87910117302,9946.109460600062,10000.0,10006.456645228309,9943.766393669632,9927.364925156608,9964.85399604352
1997-01-22,9727.595055967802,9950.370921227252,10000.0,10008.309454196651,9948.213135193653,9933.108632958469,9967.633209496034
1997-01-23,9689.283584649354,9943.486828724717,10000.0,10005.316370499897,9941.029734321444,9923.830073498531,9963.143583950903
